"State","Store_name","Shopping_center","Street_add","City","Postcode","Hrs_of_bus","Display_wd","URL","Xcoord","Ycoord","uuid"
"ID","Sage Boutique","","8198 N Government Way","Hayden","83835","","1.5","","-116.78595","47.74631","1"
"IL","Vibrato Inc","","1515 Sheridan Rd #25","Wilmette","60091","","1.5","www.vibratoboutique.com","-87.701115","42.087421","2"

